n,t,v,q,pwm,fa
122,2.44,"[0.203, -0.00229, -4.25]","[0.999, 0.000845, -0.0402, 0.00295]","[1e+03, 2e+03, 1.76e+03, 1.76e+03]","[-0.907, 7.49e-06, 0.997]"
123,2.46,"[0.201, -0.00205, -4.19]","[0.999, 0.00086, -0.0423, 0.00292]","[1.17e+03, 1.63e+03, 1e+03, 2e+03]","[-0.901, 7.2e-06, 0.964]"
124,2.48,"[0.2, -0.00181, -4.12]","[0.999, 0.000828, -0.044, 0.00286]","[1.44e+03, 1.44e+03, 1e+03, 2e+03]","[-0.897, 6.41e-06, 0.933]"
125,2.5,"[0.2, -0.00156, -4.05]","[0.999, 0.000845, -0.0452, 0.00278]","[1.45e+03, 1.45e+03, 1e+03, 2e+03]","[-0.895, 6.08e-06, 0.904]"
126,2.52,"[0.2, -0.0013, -3.99]","[0.999, 0.000896, -0.0457, 0.00267]","[1.07e+03, 1.07e+03, 1e+03, 2e+03]","[-0.896, 6.03e-06, 0.875]"
127,2.54,"[0.197, -0.00112, -3.89]","[0.999, 0.000904, -0.0456, 0.00256]","[2e+03, 1e+03, 1e+03, 1e+03]","[-0.899, 5.56e-06, 0.832]"
128,2.56,"[0.194, -0.000953, -3.79]","[0.999, 0.000808, -0.0449, 0.00249]","[1.71e+03, 1.1e+03, 1e+03, 2e+03]","[-0.904, 4.33e-06, 0.789]"
129,2.58,"[0.192, -0.000777, -3.7]","[0.999, 0.00063, -0.0437, 0.00242]","[2e+03, 1e+03, 1.69e+03, 1.69e+03]","[-0.91, 2.81e-06, 0.755]"
130,2.6,"[0.191, -0.000604, -3.64]","[0.999, 0.000486, -0.0422, 0.00236]","[2e+03, 1e+03, 1.31e+03, 1.31e+03]","[-0.917, 1.83e-06, 0.73]"
131,2.62,"[0.189, -0.000492, -3.56]","[0.999, 0.000357, -0.0403, 0.00231]","[2e+03, 1e+03, 1e+03, 1.98e+03]","[-0.925, 1.15e-06, 0.7]"
132,2.64,"[0.187, -0.000414, -3.5]","[0.999, 0.000148, -0.0383, 0.00227]","[1e+03, 2e+03, 1e+03, 2e+03]","[-0.933, 4.62e-07, 0.674]"
133,2.66,"[0.184, -0.000392, -3.43]","[0.999, -3.83e-05, -0.0362, 0.00223]","[1e+03, 2e+03, 1e+03, 2e+03]","[-0.941, 1.25e-07, 0.648]"
134,2.68,"[0.181, -0.000413, -3.36]","[0.999, -0.000155, -0.0342, 0.00219]","[1.29e+03, 1.29e+03, 1e+03, 2e+03]","[-0.947, 2.47e-08, 0.624]"
135,2.7,"[0.177, -0.000462, -3.29]","[0.999, -0.000248, -0.0324, 0.00216]","[1e+03, 2e+03, 1.46e+03, 1.46e+03]","[-0.953, 1.82e-10, 0.597]"
136,2.72,"[0.172, -0.000537, -3.23]","[1, -0.000316, -0.0308, 0.00214]","[1e+03, 2e+03, 1.43e+03, 1.43e+03]","[-0.958, -6.17e-09, 0.575]"
137,2.74,"[0.168, -0.000635, -3.17]","[1, -0.000383, -0.0296, 0.00212]","[1e+03, 2e+03, 1.43e+03, 1.43e+03]","[-0.961, -2.54e-08, 0.553]"
138,2.76,"[0.163, -0.000752, -3.1]","[1, -0.000483, -0.0287, 0.0021]","[1e+03, 2e+03, 1e+03, 1.88e+03]","[-0.963, -7.71e-08, 0.531]"
